what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1495854112418
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1495854112419
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1495854112422
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1495854112422
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1495854112423
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1495854112424
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1495854112426
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1495854112427
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1495854112428
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1495854112429
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1495854112430
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1495854112431
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1495854112432
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1495854112433
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1495854112434
os,sysinfo,,,"win32",1495854112438
arch,sysinfo,,,"x86",1495854112438
ws,sysinfo,,,"win32",1495854112438
locale,sysinfo,,,"en_US",1495854112438
processors,sysinfo,,,"4",1495854112438
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1495854112438
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1495854112438
java.specification.name,sysinfo,,,"Java Platform API Specification",1495854112438
java.specification.vendor,sysinfo,,,"Oracle Corporation",1495854112438
java.specification.version,sysinfo,,,"1.8",1495854112438
java.vendor,sysinfo,,,"Oracle Corporation",1495854112438
java.version,sysinfo,,,"1.8.0_121",1495854112438
java.vm.info,sysinfo,,,"mixed mode",1495854112438
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1495854112438
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1495854112438
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1495854112438
java.vm.specification.version,sysinfo,,,"1.8",1495854112438
java.vm.vendor,sysinfo,,,"Oracle Corporation",1495854112438
